"method","seed","p","wallShearStress:0","wallShearStress:1","wallShearStress:2"
Center,0.1,43.02249714361869,0.36650149421218003,0.05053905900031275,3.651073842446541e-18
Nodes,0.1,85.13950332589275,1.0159308539199756,0.09490493344528528,1.4208787155455962e-18
Center,0.05,9.284063462374434,0.19839704456811091,0.01599311415571192,1.0589496636061398e-18
Nodes,0.05,16.159423382634486,0.17348861004788318,0.3291207096866793,4.1260438175598314e-18
Center,0.03,11.366851197012238,0.17392770583727213,0.018178160868301374,3.5037660568069487e-19
Nodes,0.03,39.832207705043174,0.38013469649006737,0.09702737283638707,1.3324631881857017e-18
Center,0.025,0.4639921168186447,0.29355698358082805,0.0918410521182571,2.329514136872087e-18
Nodes,0.025,8.72788968337818,0.13863202232762717,0.18473156565298376,9.251414882327425e-19
Center,0.02,4.0684016245168095,0.1648218341674763,0.030514602048540174,4.438799287779506e-19
Nodes,0.02,18.919254099142563,0.381445846956197,0.06030732320027865,1.3575862260641318e-18
Center,0.015,0.9787618694847424,0.2281386334143889,0.001770307421462447,9.282293213745379e-19
Nodes,0.015,12.369504700804328,0.07213580878469372,0.06366900723092284,6.388511972735355e-19
Center,0.0125,2.5371229739189403,0.1896419681365913,0.028095870438528014,1.018924940672839e-18
Nodes,0.0125,4.001956062560112,0.249071491129655,0.14213088681972186,4.629846858555187e-19
Center,0.04,17.934034851140268,0.12861700314655167,0.07691689436616433,9.469928396151656e-20
Nodes,0.04,18.330169564242397,0.44719923743902257,0.03744191464734559,8.197247055412309e-20
Center,0.075,6.127157587233796,0.3882686854133297,0.10852610720715994,8.075317854020183e-19
Nodes,0.075,17.696672566839197,0.3297658487720767,0.25897823736692605,1.196474161618764e-18
Center,0.01,3.8331960001314656,0.1557689016870114,0.06482037736135471,9.515506113483615e-19
Nodes,0.01,3.6896141269203326,0.307850542655558,0.004958169749023522,4.605534106263728e-19
